iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative,excess_mortality
ROU,Europe,Romania,9/23/2021,1172981,7095,5422,35964,113,96.857,61323.452,370.927,283.462,1880.198,5.908,5.064,1.6,,,,,,,14691.566,768.075,,9395743,491.209,,16130,0.843,0.26,3.8,tests performed,9987918,5406546,5286774,,16906,12385,52.22,28.27,27.64,,647,50,19127772,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,,
RUS,Europe,Russia,9/23/2021,7248572,21023,19702.286,197834,802,784.857,49677.689,144.08,135.029,1355.844,5.496,5.379,1.04,,,,,,,,,,187347905,1283.979,,433205,2.969,0.044,22.6,tests performed,88567925,47285157,41282768,,429315,286242,60.7,32.41,28.29,,1962,52.31,145912022,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,,
RWA,Africa,Rwanda,9/23/2021,96337,314,265.571,1233,7,5.714,7256.195,23.651,20.003,92.871,0.527,0.43,0.78,,,,,,,,,10186,2710633,204.167,0.767,13390,1.009,0.021,47.6,samples tested,3409470,1968873,1440597,,152810,75334,25.68,14.83,10.85,,5674,,13276517,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,,69.02,0.543,,
KNA,North America,Saint Kitts and Nevis,9/23/2021,1762,44,24.714,10,0,0.143,32906.286,821.723,461.552,186.755,0,2.668,1.12,,,,,,,,,257,36602,683.562,4.8,219,4.09,0.106,9.5,people tested,47098,25178,21920,,,43,87.96,47.02,40.94,,803,,53546,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,,
LCA,North America,Saint Lucia,9/23/2021,10852,125,90.714,169,1,4.286,58850.006,677.871,491.94,916.481,5.423,23.241,1.15,,,,,,,,,,,,,,,,,,74492,44292,30200,,754,425,40.4,24.02,16.38,,2305,,184401,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759,,
VCT,North America,Saint Vincent and the Grenadines,9/23/2021,3071,107,65.429,17,0,0.571,27599.781,961.634,588.022,152.783,0,5.136,1.8,,,,,,,,,,,,,,,,,,33077,19984,13093,,488,51,29.73,17.96,11.77,,458,,111269,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738,,
WSM,Oceania,Samoa,9/23/2021,3,0,0,,,0,14.989,0,0,,,0,,,,,,,,,,,,,,,,,,,149431,99163,50268,,,981,74.66,49.55,25.12,,4901,,200144,69.413,22,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715,,
SMR,Europe,San Marino,9/23/2021,5426,3,2.571,90,0,0,159541.311,88.209,75.608,2646.281,0,0,1.02,,,,,,,,,,,,,,,,,,47084,24422,24422,,2,19,138.44,71.81,71.81,,559,50,34010,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,
STP,Africa,Sao Tome and Principe,9/23/2021,3217,25,33.286,47,1,0.714,14402.5,111.925,149.02,210.419,4.477,3.198,1.51,,,,,,,,,,,,,,,,,,73223,55036,18187,,,1611,32.78,24.64,8.14,,7212,,223364,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625,,
SAU,Asia,Saudi Arabia,9/23/2021,546735,0,57,8679,0,4.857,15470.415,0,1.613,245.581,0,0.137,0.58,,,,,,,,,45291,28433787,804.563,1.282,48127,1.362,0.002,578.8,tests performed,41360564,23201817,18158747,,69899,125662,117.03,65.65,51.38,,3556,55.56,35340680,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,,
SEN,Africa,Senegal,9/23/2021,73706,14,20.571,1853,4,1.714,4286.153,0.814,1.196,107.756,0.233,0.1,0.51,,,,,,,,,1479,795255,46.246,0.086,1990,0.116,0.011,90.5,tests performed,1784832,1219834,564998,,,2395,10.38,7.09,3.29,,139,,17196308,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,,
SRB,Europe,Serbia,9/23/2021,893023,6480,6701.286,7926,41,37.429,131238.21,952.298,984.818,1164.801,6.025,5.5,1.27,,,,,,,,,16642,5407881,794.739,2.446,23800,3.498,0.293,3.4,people tested,6352644,3010835,2873259,468550,20146,20009,93.36,44.25,42.23,6.89,2941,36.11,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,
